name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
5409-55957-378,12:40:27.53,+11:19:18.14,0.37,2.37,18.75,7.54,1.25,9.67,254.91,1.39,C
6034-56103-7,16:16:39.64,+44:01:44.95,0.49,2.71,19.41,12.87,4.90,1.33,264.91,1.40,C
5949-56096-763,21:52:09.60,+22:17:34.93,0.59,2.23,19.54,16.00,3.83,0.22,850.00,12.59,C
6835-56420-463,12:52:00.39,+58:43:38.45,0.61,2.38,19.12,12.25,1.99,8.94,156.28,0.43,C
5428-56029-97,13:26:05.93,+15:48:50.68,0.53,2.84,19.63,9.49,3.83,1.68,214.50,0.90,C
4605-55971-85,09:08:34.86,+39:59:44.58,0.49,2.91,19.47,7.67,2.29,9.12,283.54,1.63,C
4260-55478-356,02:34:54.75,+04:06:44.26,0.59,2.53,19.99,5.34,2.59,1.58,233.91,0.99,B
6122-56246-143,23:12:01.10,+19:47:53.38,0.67,2.35,20.35,6.76,2.51,8.73,214.97,0.76,C
6976-56448-139,16:20:42.83,+58:06:54.26,0.58,2.25,19.76,10.71,2.14,9.78,144.30,0.37,C
5433-55981-6,13:36:21.57,+08:09:08.31,0.35,2.76,18.36,12.05,2.98,3.56,218.93,1.07,C
3790-55208-567,11:46:02.41,-01:51:45.87,0.57,2.22,19.05,12.10,2.67,1.14,372.72,2.46,C
4733-55649-107,10:49:28.17,+02:21:00.56,0.47,2.67,19.56,8.10,2.95,7.60,111.54,0.25,C
3929-55335-629,16:05:55.85,+22:33:20.37,0.73,2.37,19.76,9.68,3.18,2.09,272.90,1.17,C
8862-57461-319,09:23:00.46,+37:07:41.73,0.60,2.86,20.37,11.38,3.73,9.94,199.15,0.74,C
7598-56956-263,23:50:25.06,+20:30:16.27,0.69,2.81,20.56,3.56,1.44,1.72,55.36,0.05,C
5778-56328-344,09:06:53.55,+24:52:28.76,0.44,2.75,18.73,8.67,3.12,0.16,166.89,0.58,C
4349-55803-132,01:59:23.85,-03:27:17.36,0.61,2.61,19.33,6.25,2.41,8.16,250.31,1.12,B
4264-55506-741,02:20:11.40,+05:46:11.24,0.25,2.37,17.17,11.49,2.26,3.19,233.60,1.30,A
4786-55651-473,13:36:04.25,+04:12:55.36,0.48,2.60,19.51,7.47,2.40,8.92,301.54,1.81,C
5771-56011-673,09:18:18.62,+22:19:32.89,0.41,2.36,19.71,8.11,2.59,7.11,132.85,0.37,C
